Tiempo,Partida,Total palabras a adivinar,Nombre evento,Usuarie - nick, Usuarie - genero,Usuarie - edad,Estado,Palabra,Nivel
1624118202,1,6,inicio_partida,nora,Femenino,50,,,Nivel 3
1624118208,1,6,intento,nora,Femenino,50,error,Ecole,Nivel 3
1624118213,1,6,intento,nora,Femenino,50,error,Wanadoo,Nivel 3
1624118219,1,6,intento,nora,Femenino,50,error,TalonSoft,Nivel 3
1624118221,1,6,intento,nora,Femenino,50,ok,Ecole,Nivel 3
1624118228,1,6,intento,nora,Femenino,50,error,Funbox Media,Nivel 3
1624118230,1,6,intento,nora,Femenino,50,ok,Wanadoo,Nivel 3
1624118236,1,6,intento,nora,Femenino,50,error,Answer Software,Nivel 3
1624118239,1,6,intento,nora,Femenino,50,ok,Funbox Media,Nivel 3
1624118246,1,6,intento,nora,Femenino,50,error,TalonSoft,Nivel 3
1624118248,1,6,intento,nora,Femenino,50,ok,Nintendo,Nivel 3
1624118254,1,6,intento,nora,Femenino,50,error,Answer Software,Nivel 3
1624118256,1,6,intento,nora,Femenino,50,ok,Answer Software,Nivel 3
1624118258,1,6,intento,nora,Femenino,50,ok,TalonSoft,Nivel 3
1624118258,1,6,fin,nora,Femenino,50,finalizado,,Nivel 3
1624118271,2,6,inicio_partida,nora,Femenino,50,,,Nivel 3
1624118276,2,6,intento,nora,Femenino,50,error,Epic Games,Nivel 3
1624118280,2,6,intento,nora,Femenino,50,error,Paradox Development,Nivel 3
1624118282,2,6,intento,nora,Femenino,50,ok,NCS,Nivel 3
1624118285,2,6,intento,nora,Femenino,50,ok,Epic Games,Nivel 3
1624118289,2,6,intento,nora,Femenino,50,error,Nobilis,Nivel 3
1624118291,2,6,intento,nora,Femenino,50,ok,Nobilis,Nivel 3
1624118296,2,6,intento,nora,Femenino,50,error,Flashpoint Games,Nivel 3
1624118298,2,6,intento,nora,Femenino,50,ok,Flashpoint Games,Nivel 3
1624118300,2,6,intento,nora,Femenino,50,ok,Oxygen Interactive,Nivel 3
1624118303,2,6,intento,nora,Femenino,50,ok,Paradox Development,Nivel 3
1624118303,2,6,fin,nora,Femenino,50,finalizado,,Nivel 3
1624118315,3,6,inicio_partida,nora,Femenino,50,,,Nivel 2
1624118324,3,6,intento,nora,Femenino,50,error,Hamster Corporation,Nivel 2
1624118328,3,6,intento,nora,Femenino,50,error,ASCII Entertainment,Nivel 2
1624118331,3,6,intento,nora,Femenino,50,error,Tru Blu Entertainment,Nivel 2
1624118335,3,6,intento,nora,Femenino,50,error,Electronic Arts,Nivel 2
1624118340,3,6,intento,nora,Femenino,50,error,Panther Software,Nivel 2
1624118341,3,6,intento,nora,Femenino,50,ok,Tru Blu Entertainment,Nivel 2
1624118347,3,6,intento,nora,Femenino,50,error,ASCII Entertainment,Nivel 2
1624118348,3,6,intento,nora,Femenino,50,ok,ASCII Entertainment,Nivel 2
1624118355,3,6,intento,nora,Femenino,50,error,Hamster Corporation,Nivel 2
1624118359,3,6,intento,nora,Femenino,50,error,Victor Interactive,Nivel 2
1624118364,3,6,intento,nora,Femenino,50,error,Victor Interactive,Nivel 2
1624118365,3,6,intento,nora,Femenino,50,ok,Victor Interactive,Nivel 2
1624118371,3,6,intento,nora,Femenino,50,error,Hamster Corporation,Nivel 2
1624118375,3,6,intento,nora,Femenino,50,error,Panther Software,Nivel 2
1624118375,3,6,fin,nora,Femenino,50,timeout,,Nivel 2
1624118459,4,6,inicio_partida,nora,Femenino,50,,,Nivel 2
1624118465,4,6,intento,nora,Femenino,50,error,Imagic,Nivel 2
1624118469,4,6,intento,nora,Femenino,50,error,Angel Studios,Nivel 2
1624118472,4,6,intento,nora,Femenino,50,ok,Imagic,Nivel 2
1624118475,4,6,intento,nora,Femenino,50,ok,TOHO,Nivel 2
1624118477,4,6,intento,nora,Femenino,50,ok,Answer Software,Nivel 2
